2026-01-11 22:20:00.134 | INFO  | [349732c1-6872-4a80-b9b2-d934b7d5562a] [] [] | http-nio-8080-exec-7 | c.g.s.CustomerCylinderLedgerService | OPERATION_SUCCESS | operation=CREATE_LEDGER_ENTRY | id=17 | customerId=1 | balance=1
2026-01-11 22:20:00.136 | INFO  | [349732c1-6872-4a80-b9b2-d934b7d5562a] [] [] | http-nio-8080-exec-7 | c.g.service.InventoryStockService | OPERATION_START | operation=INCREMENT_EMPTY_QTY | variantId=1 | qty=6
2026-01-11 22:20:00.146 | INFO  | [349732c1-6872-4a80-b9b2-d934b7d5562a] [] [] | http-nio-8080-exec-7 | c.g.service.InventoryStockService | OPERATION_SUCCESS | operation=INCREMENT_EMPTY_QTY | variantId=1 | newEmptyQty=12
2026-01-11 22:21:22.141 | INFO  | [b329cc8f-dfb1-447f-903a-f6ef6409f4e9] [] [630d6775-064a-44fe-a369-2a4e78c5aebd] | http-nio-8080-exec-8 | com.gasagency.service.SaleService | Creating new sale with request: com.gasagency.dto.CreateSaleRequestDTO@49e80c50
2026-01-11 22:21:22.148 | ERROR | [b329cc8f-dfb1-447f-903a-f6ef6409f4e9] [] [630d6775-064a-44fe-a369-2a4e78c5aebd] | http-nio-8080-exec-8 | com.gasagency.service.SaleService | Insufficient inventory for variant: 19KG Cylinder. Available: 0, Requested: 2
2026-01-11 22:22:41.558 | INFO  | [6ca2fcf7-be0e-4260-b779-c714e2a5b340] [] [] | http-nio-8080-exec-10 | c.g.s.SupplierTransactionService | OPERATION_START | operation=RECORD_TRANSACTION | supplierId=1 | variantId=1
2026-01-11 22:22:41.584 | INFO  | [6ca2fcf7-be0e-4260-b779-c714e2a5b340] [] [] | http-nio-8080-exec-10 | c.g.service.InventoryStockService | OPERATION_SUCCESS | operation=INCREMENT_FILLED_QTY | variantId=1 | newQty=12
2026-01-11 22:22:41.591 | INFO  | [6ca2fcf7-be0e-4260-b779-c714e2a5b340] [] [] | http-nio-8080-exec-10 | c.g.service.InventoryStockService | OPERATION_SUCCESS | operation=DECREMENT_EMPTY_QTY | variantId=1 | newQty=0
2026-01-11 22:22:41.592 | INFO  | [6ca2fcf7-be0e-4260-b779-c714e2a5b340] [] [] | http-nio-8080-exec-10 | c.g.s.SupplierTransactionService | OPERATION_SUCCESS | operation=RECORD_TRANSACTION | id=5 | supplierId=1 | filled=12
2026-01-11 22:23:01.224 | INFO  | [179ac3b5-62f1-49a2-8649-b455d4117c76] [] [3e6eac6e-cc7e-4237-8ef4-aae484e2e414] | http-nio-8080-exec-9 | com.gasagency.service.SaleService | Creating new sale with request: com.gasagency.dto.CreateSaleRequestDTO@3ef12697
2026-01-11 22:23:01.234 | INFO  | [179ac3b5-62f1-49a2-8649-b455d4117c76] [] [3e6eac6e-cc7e-4237-8ef4-aae484e2e414] | http-nio-8080-exec-9 | com.gasagency.service.SaleService | Sale validation complete - Total amount: 900.00, Items: 1
2026-01-11 22:23:01.247 | INFO  | [179ac3b5-62f1-49a2-8649-b455d4117c76] [] [3e6eac6e-cc7e-4237-8ef4-aae484e2e414] | http-nio-8080-exec-9 | com.gasagency.service.SaleService | Sale created with id: 12 for customer: Mahesh Patil - Total: 900.00
2026-01-11 22:23:01.260 | INFO  | [179ac3b5-62f1-49a2-8649-b455d4117c76] [] [3e6eac6e-cc7e-4237-8ef4-aae484e2e414] | http-nio-8080-exec-9 | c.g.service.InventoryStockService | OPERATION_START | operation=DECREMENT_FILLED_WITH_CHECK | variantId=1 | qty=2
2026-01-11 22:23:01.272 | INFO  | [179ac3b5-62f1-49a2-8649-b455d4117c76] [] [3e6eac6e-cc7e-4237-8ef4-aae484e2e414] | http-nio-8080-exec-9 | c.g.service.InventoryStockService | OPERATION_SUCCESS | operation=DECREMENT_FILLED_QTY_CHECK | variantId=1 | newQty=10
2026-01-11 22:23:01.273 | INFO  | [179ac3b5-62f1-49a2-8649-b455d4117c76] [] [3e6eac6e-cc7e-4237-8ef4-aae484e2e414] | http-nio-8080-exec-9 | c.g.service.InventoryStockService | OPERATION_START | operation=INCREMENT_EMPTY_QTY | variantId=1 | qty=0
2026-01-11 22:23:01.273 | INFO  | [179ac3b5-62f1-49a2-8649-b455d4117c76] [] [3e6eac6e-cc7e-4237-8ef4-aae484e2e414] | http-nio-8080-exec-9 | c.g.service.InventoryStockService | OPERATION_SUCCESS | operation=INCREMENT_EMPTY_QTY | variantId=1 | newEmptyQty=No increment (qty=0)
2026-01-11 22:23:01.273 | INFO  | [179ac3b5-62f1-49a2-8649-b455d4117c76] [] [3e6eac6e-cc7e-4237-8ef4-aae484e2e414] | http-nio-8080-exec-9 | c.g.s.CustomerCylinderLedgerService | OPERATION_START | operation=CREATE_LEDGER_ENTRY | customerId=2 | variantId=1
2026-01-11 22:23:01.280 | INFO  | [179ac3b5-62f1-49a2-8649-b455d4117c76] [] [3e6eac6e-cc7e-4237-8ef4-aae484e2e414] | http-nio-8080-exec-9 | c.g.s.CustomerCylinderLedgerService | OPERATION_SUCCESS | operation=CREATE_LEDGER_ENTRY | id=18 | customerId=2 | balance=6
2026-01-11 22:23:01.280 | INFO  | [179ac3b5-62f1-49a2-8649-b455d4117c76] [] [3e6eac6e-cc7e-4237-8ef4-aae484e2e414] | http-nio-8080-exec-9 | com.gasagency.service.SaleService | Sale 12 completed successfully for customer Mahesh Patil
2026-01-11 22:23:01.280 | INFO  | [179ac3b5-62f1-49a2-8649-b455d4117c76] [] [3e6eac6e-cc7e-4237-8ef4-aae484e2e414] | http-nio-8080-exec-9 | com.gasagency.service.SaleService | TRANSACTION_SUMMARY | txnId=3e6eac6e-cc7e-4237-8ef4-aae484e2e414 | saleId=12 | customer=Mahesh Patil | amount=900.00 | duration=56ms
2026-01-11 23:02:43.596 | INFO  | [fa4361a4-8d6a-49ac-9fc1-73f49e27e460] [] [665204b5-fff3-4968-8693-1952e64e0c2f] | http-nio-8080-exec-10 | com.gasagency.service.SaleService | Creating new sale with request: com.gasagency.dto.CreateSaleRequestDTO@376c1633
2026-01-11 23:02:43.605 | INFO  | [fa4361a4-8d6a-49ac-9fc1-73f49e27e460] [] [665204b5-fff3-4968-8693-1952e64e0c2f] | http-nio-8080-exec-10 | com.gasagency.service.SaleService | Sale validation complete - Total amount: 4500.00, Items: 1
2026-01-11 23:02:43.609 | INFO  | [fa4361a4-8d6a-49ac-9fc1-73f49e27e460] [] [665204b5-fff3-4968-8693-1952e64e0c2f] | http-nio-8080-exec-10 | com.gasagency.service.SaleService | Sale created with id: 13 for customer: Tushar Rokade - Total: 4500.00
2026-01-11 23:02:43.612 | INFO  | [fa4361a4-8d6a-49ac-9fc1-73f49e27e460] [] [665204b5-fff3-4968-8693-1952e64e0c2f] | http-nio-8080-exec-10 | c.g.service.InventoryStockService | OPERATION_START | operation=DECREMENT_FILLED_WITH_CHECK | variantId=1 | qty=9
2026-01-11 23:02:43.613 | INFO  | [fa4361a4-8d6a-49ac-9fc1-73f49e27e460] [] [665204b5-fff3-4968-8693-1952e64e0c2f] | http-nio-8080-exec-10 | c.g.service.InventoryStockService | OPERATION_SUCCESS | operation=DECREMENT_FILLED_QTY_CHECK | variantId=1 | newQty=1
2026-01-11 23:02:43.613 | INFO  | [fa4361a4-8d6a-49ac-9fc1-73f49e27e460] [] [665204b5-fff3-4968-8693-1952e64e0c2f] | http-nio-8080-exec-10 | c.g.service.InventoryStockService | OPERATION_START | operation=INCREMENT_EMPTY_QTY | variantId=1 | qty=0
2026-01-11 23:02:43.613 | INFO  | [fa4361a4-8d6a-49ac-9fc1-73f49e27e460] [] [665204b5-fff3-4968-8693-1952e64e0c2f] | http-nio-8080-exec-10 | c.g.service.InventoryStockService | OPERATION_SUCCESS | operation=INCREMENT_EMPTY_QTY | variantId=1 | newEmptyQty=No increment (qty=0)
2026-01-11 23:02:43.613 | INFO  | [fa4361a4-8d6a-49ac-9fc1-73f49e27e460] [] [665204b5-fff3-4968-8693-1952e64e0c2f] | http-nio-8080-exec-10 | c.g.s.CustomerCylinderLedgerService | OPERATION_START | operation=CREATE_LEDGER_ENTRY | customerId=1 | variantId=1
2026-01-11 23:02:43.616 | INFO  | [fa4361a4-8d6a-49ac-9fc1-73f49e27e460] [] [665204b5-fff3-4968-8693-1952e64e0c2f] | http-nio-8080-exec-10 | c.g.s.CustomerCylinderLedgerService | OPERATION_SUCCESS | operation=CREATE_LEDGER_ENTRY | id=19 | customerId=1 | balance=10
2026-01-11 23:02:43.617 | INFO  | [fa4361a4-8d6a-49ac-9fc1-73f49e27e460] [] [665204b5-fff3-4968-8693-1952e64e0c2f] | http-nio-8080-exec-10 | com.gasagency.service.SaleService | Sale 13 completed successfully for customer Tushar Rokade
2026-01-11 23:02:43.617 | INFO  | [fa4361a4-8d6a-49ac-9fc1-73f49e27e460] [] [665204b5-fff3-4968-8693-1952e64e0c2f] | http-nio-8080-exec-10 | com.gasagency.service.SaleService | TRANSACTION_SUMMARY | txnId=665204b5-fff3-4968-8693-1952e64e0c2f | saleId=13 | customer=Tushar Rokade | amount=4500.00 | duration=21ms
